SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
200021,Cash loans,M,Y,N,0,225000.0,1993945.5,197050.5,1930468.5,Family,Working,Incomplete higher,Separated,Rented apartment,0.007274,-8843,-533,-2967,-5684,35.0,1,1,0,1,1,0,Security staff,1.0,3,3,WEDNESDAY,15,1,0,1,0,1,1,School,0.384604,0.448881,0.470549,0.089266,0.096944,0.943663,0.67117,,0,0.14009,0.495678,0.503802,0.077049,,0.029264,,,0.089579,0.098554,0.995873,0.688576,,0,0.140534,0.507417,0.501056,0.07531,,0.029535,,,0.089472,0.095248,0.946681,0.663799,,0,0.137749,0.489062,0.485503,0.071923,,0.030536,,,reg oper account,specific housing,0.110077,Mixed,No,1.0,3.0,0.0,3.0,-316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,3.0,3.0,8.0
200022,Cash loans,F,N,Y,1,202500.0,904680.0,36670.5,865125.0,"Spouse, partner",Pensioner,Secondary / secondary special,Widow,House / apartment,0.003122,-22832,365243,-8229,-3072,,1,0,0,1,1,0,,2.0,1,1,WEDNESDAY,8,0,0,0,0,0,0,XNA,0.817271,0.800397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,-1373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
200023,Cash loans,F,N,Y,1,315000.0,2025000.0,132210.0,1779354.0,,Working,Lower secondary,Single / not married,House / apartment,0.04622,-9753,-79,-9426,-1990,,1,1,0,1,1,0,Laborers,2.0,3,3,FRIDAY,10,0,1,0,1,0,1,Self-employed,0.208461,0.166826,0.20284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,1.0,-519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,3.0,8.0
200024,Cash loans,F,Y,N,1,121500.0,1033483.5,108837.0,884515.5,Family,Working,Secondary / secondary special,Married,With parents,0.003122,-8191,-850,-5085,-4231,21.0,1,1,1,1,1,0,Laborers,3.0,3,3,SUNDAY,15,0,1,1,0,0,1,Medicine,,0.038184,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2.0,3.0
200025,Cash loans,F,N,Y,1,121500.0,1111027.5,121171.5,993528.0,Family,Working,Secondary / secondary special,Widow,With parents,0.026392,-13518,-140,-5917,-4547,,1,1,1,1,1,1,Core staff,2.0,3,3,FRIDAY,19,0,0,1,1,1,1,XNA,,0.098759,0.241571,0.311962,0.076734,0.989548,0.525783,0.177888,0.067975,0.142851,0.164993,0.170208,0.113546,0.238759,0.320614,,0,0.29905,0.075164,1,0.52293,0.17481,0.067345,0.135272,0.163503,0.165983,0.117361,0.234111,0.334021,,0,0.29595,0.079752,0.995077,0.53965,0.17563,0.064805,0.139907,0.171308,0.164294,0.111501,0.229907,0.324342,,0,reg oper spec account,specific housing,0.356324,"Stone, brick",No,7.0,1.0,7.0,1.0,-843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,3.0,6.0
200026,Cash loans,M,Y,Y,0,90000.0,388894.5,16443.0,358078.5,Group of people,Working,Higher education,Civil marriage,With parents,0.031329,-19027,-7788,-8239,-5259,7.0,1,1,0,1,0,0,,2.0,2,2,FRIDAY,16,0,1,0,0,0,1,Business Entity Type 3,,0.497509,0.395966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0
200027,Cash loans,M,Y,Y,1,135000.0,178353.0,10134.0,173997.0,,Commercial associate,Higher education,Separated,With parents,0.031329,-24144,-8612,-5233,-1989,25.0,1,1,1,1,0,0,Medicine staff,2.0,2,2,TUESDAY,7,0,0,0,0,0,0,Trade: type 7,,0.374488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
200028,Cash loans,F,N,Y,0,157500.0,483093.0,26518.5,470241.0,Group of people,Working,Higher education,Single / not married,House / apartment,0.020713,-14623,-7142,-6568,-428,,1,1,0,1,1,1,Drivers,1.0,2,2,MONDAY,11,0,1,0,0,0,1,Medicine,,0.743466,0.480499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,-2502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200029,Cash loans,M,Y,N,0,180000.0,759573.0,42052.5,625729.5,,State servant,Higher education,Civil marriage,With parents,0.035792,-18768,-1359,-7785,-145,2.0,1,1,1,1,1,1,Sales staff,2.0,2,2,THURSDAY,14,0,0,0,0,1,1,Business Entity Type 3,0.662938,0.921145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,-1087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,3.0
200030,Revolving loans,M,Y,N,0,90000.0,653751.0,70344.0,613651.5,Group of people,Working,Secondary / secondary special,Widow,With parents,0.031329,-13611,-211,-9194,-2671,15.0,1,1,1,1,1,0,Core staff,1.0,3,3,THURSDAY,19,1,1,1,1,1,1,School,,0.50472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,-571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,1.0,6.0
200031,Cash loans,M,N,Y,3,157500.0,1014201.0,110290.5,999409.5,Unaccompanied,Unemployed,Incomplete higher,Separated,With parents,0.010032,-11705,-354,-10979,-4359,,1,1,0,1,0,0,Sales staff,4.0,3,3,THURSDAY,10,1,1,0,0,0,0,XNA,0.328961,0.217503,0.266671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,7.0,1.0,-668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,2.0,2.0,4.0
